fund,year,value,source,target,targetType
1,2015,14477,UN,INGO,2
1,2015,393970,UN,NNGO,2
1,2016,144390,UN,INGO,2
1,2016,662482,UN,NNGO,2
1,2016,14277,UN,O,2
1,2017,1109363,UN,INGO,2
1,2017,381150,UN,NNGO,2
1,2018,637644,UN,OG,2
1,2018,3498591,UN,INGO,2
1,2018,873654,UN,NNGO,2
2,2015,62991,UN,INGO,2
2,2015,90489,UN,NNGO,2
2,2015,85716,UN,O,2
3,2016,406018,UN,OG,2
3,2016,140447,UN,INGO,2
3,2016,36981,UN,NNGO,2
3,2017,192262,UN,OG,2
3,2017,1674589,UN,INGO,2
3,2017,142490,UN,NNGO,2
3,2018,577204,UN,INGO,2
3,2019,67595,UN,OG,2
3,2019,964299,UN,INGO,2
3,2019,141099,UN,NNGO,2
4,2017,97966,UN,OG,2
4,2017,116788,UN,NNGO,2
5,2015,405177,UN,OG,2
5,2015,334336,UN,INGO,2
5,2015,619150,UN,NNGO,2
5,2016,58130,UN,OG,2
5,2016,38115,UN,INGO,2
5,2016,1094315,UN,NNGO,2
5,2017,2193631,UN,OG,2
5,2017,1604544,UN,INGO,2
5,2017,3410293,UN,NNGO,2
5,2017,558616,UN,O,2
5,2018,166440,UN,OG,2
5,2018,2402068,UN,INGO,2
5,2018,4369093,UN,NNGO,2
5,2018,256911,UN,O,2
5,2019,324085,UN,OG,2
5,2019,1484406,UN,INGO,2
5,2019,534377,UN,NNGO,2
6,2018,134769,UN,INGO,2
6,2018,722674,UN,NNGO,2
7,2018,735316,UN,OG,2
7,2018,507611,UN,INGO,2
7,2018,634341,UN,NNGO,2
8,2015,53219,UN,OG,2
8,2015,119626,UN,INGO,2
8,2015,477796,UN,NNGO,2
8,2015,62253,UN,O,2
8,2016,94917,UN,OG,2
8,2016,1396132,UN,INGO,2
8,2016,965823,UN,NNGO,2
8,2016,342861,UN,O,2
8,2017,13537,UN,INGO,2
8,2017,90016,UN,NNGO,2
8,2017,287970,UN,O,2
8,2018,105769,UN,OG,2
8,2018,929697,UN,INGO,2
8,2018,1820864,UN,NNGO,2
8,2018,101372,UN,O,2
9,2015,68116,UN,OG,2
9,2015,251007,UN,NNGO,2
9,2016,578877,UN,OG,2
9,2016,525981,UN,INGO,2
9,2016,894101,UN,NNGO,2
9,2017,33857,UN,OG,2
9,2017,2683383,UN,INGO,2
9,2017,1646758,UN,NNGO,2
9,2017,102083,UN,O,2
9,2018,188185,UN,OG,2
9,2018,1498518,UN,INGO,2
9,2018,1717128,UN,NNGO,2
10,2015,152492,UN,OG,2
10,2015,3673347,UN,INGO,2
10,2015,562144,UN,NNGO,2
10,2015,271468,UN,O,2
10,2016,557433,UN,OG,2
10,2016,2488301,UN,INGO,2
10,2016,1556010,UN,NNGO,2
10,2016,76185,UN,O,2
10,2017,278463,UN,OG,2
10,2017,1603039,UN,INGO,2
10,2017,859825,UN,NNGO,2
10,2017,7500,UN,O,2
10,2018,130764,UN,OG,2
10,2018,1876948,UN,INGO,2
10,2018,890466,UN,NNGO,2
11,2015,684087,UN,OG,2
11,2015,1098766,UN,INGO,2
11,2015,1136505,UN,NNGO,2
11,2015,582478,UN,O,2
11,2016,687540,UN,OG,2
11,2016,1358121,UN,INGO,2
11,2016,1116189,UN,NNGO,2
11,2016,330313,UN,O,2
11,2017,186051,UN,OG,2
11,2017,666526,UN,INGO,2
11,2017,1049265,UN,NNGO,2
11,2017,106974,UN,O,2
11,2018,318823,UN,OG,2
11,2018,2623793,UN,INGO,2
11,2018,1204571,UN,NNGO,2
11,2019,148192,UN,OG,2
11,2019,1338680,UN,INGO,2
11,2019,41549,UN,NNGO,2
11,2019,1116871,UN,NNGO,2
12,2015,82796,UN,NNGO,2
12,2015,142045,UN,O,2
13,2015,744440,UN,INGO,2
13,2015,771459,UN,NNGO,2
13,2015,41051,UN,O,2
13,2018,122479,UN,OG,2
13,2018,1176204,UN,INGO,2
13,2018,1409347,UN,NNGO,2
14,2019,523091,UN,OG,2
14,2019,27055,UN,NNGO,2
14,2019,152627,UN,O,2
15,2016,7544,UN,OG,2
15,2016,134254,UN,INGO,2
15,2016,182443,UN,NNGO,2
16,2015,21000,UN,OG,2
17,2015,510416,UN,OG,2
17,2015,6428534,UN,INGO,2
17,2015,1620031,UN,NNGO,2
17,2015,111967,UN,O,2
17,2016,563221,UN,OG,2
17,2016,5455564,UN,INGO,2
17,2016,1882204,UN,NNGO,2
17,2016,135749,UN,O,2
17,2017,387640,UN,OG,2
17,2017,8203910,UN,INGO,2
17,2017,3348485,UN,NNGO,2
17,2017,598639,UN,O,2
17,2018,844875,UN,OG,2
17,2018,13220821,UN,INGO,2
17,2018,10647113,UN,NNGO,2
17,2018,196332,UN,O,2
17,2019,274890,UN,INGO,2
17,2019,488233,UN,NNGO,2
18,2015,352434,UN,OG,2
18,2015,430180,UN,INGO,2
18,2015,28340,UN,NNGO,2
18,2016,79903,UN,OG,2
18,2016,89212,UN,INGO,2
18,2016,96151,UN,NNGO,2
18,2018,319000,UN,INGO,2
18,2018,326000,UN,O,2
18,2019,749287,UN,OG,2
18,2019,292306,UN,NNGO,2
18,2019,62003,UN,O,2
19,2017,532380,UN,OG,2
19,2017,150891,UN,INGO,2
20,2016,1682400,UN,OG,2
20,2016,1653241,UN,INGO,2
20,2016,391384,UN,NNGO,2
20,2018,265731,UN,INGO,2
20,2018,81801,UN,NNGO,2
21,2015,182513,UN,OG,2
21,2015,299975,UN,NNGO,2
22,2015,112989,UN,INGO,2
22,2015,41230,UN,NNGO,2
23,2015,1388506,UN,OG,2
23,2016,1058982,UN,OG,2
23,2018,1109449,UN,OG,2
24,2015,920403,UN,OG,2
24,2015,1100625,UN,NNGO,2
24,2016,1842301,UN,OG,2
24,2016,1929578,UN,INGO,2
24,2016,674075,UN,NNGO,2
24,2017,2668047,UN,OG,2
24,2017,1829680,UN,INGO,2
24,2017,285046,UN,NNGO,2
24,2018,4221592,UN,OG,2
24,2018,2109745,UN,INGO,2
24,2018,196835,UN,NNGO,2
24,2019,2432163,UN,OG,2
24,2019,316335,UN,INGO,2
24,2019,225788,UN,NNGO,2
25,2016,805548,UN,OG,2
25,2016,166175,UN,INGO,2
25,2016,673112,UN,NNGO,2
26,2016,702976,UN,NNGO,2
26,2018,17014,UN,INGO,2
26,2018,293143,UN,NNGO,2
26,2019,616976,UN,NNGO,2
27,2016,981958,UN,OG,2
27,2016,228833,UN,INGO,2
27,2016,262970,UN,NNGO,2
27,2016,219051,UN,O,2
28,2015,268769,UN,OG,2
28,2015,2751643,UN,INGO,2
28,2015,1568678,UN,NNGO,2
28,2015,52334,UN,O,2
28,2016,269200,UN,OG,2
28,2016,3927319,UN,INGO,2
28,2016,355398,UN,NNGO,2
28,2018,443485,UN,OG,2
28,2018,3109375,UN,INGO,2
28,2018,1538552,UN,NNGO,2
28,2018,789652,UN,O,2
28,2019,20252,UN,OG,2
28,2019,425365,UN,INGO,2
28,2019,735307,UN,NNGO,2
29,2015,9729,UN,OG,2
29,2015,379209,UN,INGO,2
29,2015,3952,UN,NNGO,2
30,2018,2281862,UN,OG,2
30,2018,33649,UN,INGO,2
30,2018,492195,UN,NNGO,2
31,2018,460784,UN,OG,2
31,2018,739455,UN,INGO,2
31,2018,2628141,UN,NNGO,2
31,2018,33530,UN,O,2
32,2015,899311,UN,OG,2
32,2015,1131977,UN,INGO,2
32,2015,896757,UN,NNGO,2
32,2015,293315,UN,O,2
32,2016,337124,UN,OG,2
32,2016,2848778,UN,INGO,2
32,2016,2422149,UN,NNGO,2
32,2016,29064,UN,O,2
33,2015,26000,UN,OG,2
33,2015,261132,UN,INGO,2
33,2015,65920,UN,NNGO,2
33,2016,990,UN,INGO,2
33,2016,1085682,UN,NNGO,2
34,2016,393165,UN,OG,2
34,2016,1753535,UN,INGO,2
34,2017,260563,UN,OG,2
34,2017,1049861,UN,INGO,2
34,2017,213699,UN,NNGO,2
34,2017,1072055,UN,O,2
34,2018,370694,UN,OG,2
34,2018,615125,UN,INGO,2
34,2018,383718,UN,O,2
34,2019,270083,UN,OG,2
34,2019,710228,UN,INGO,2
34,2019,206855,UN,NNGO,2
34,2019,399818,UN,O,2
35,2016,100000,UN,OG,2
35,2018,549725,UN,OG,2
35,2018,232728,UN,NNGO,2
36,2015,33900,UN,OG,2
36,2015,5983665,UN,INGO,2
36,2015,393200,UN,NNGO,2
36,2018,443842,UN,INGO,2
36,2018,577842,UN,NNGO,2
37,2016,2063836,UN,OG,2
37,2016,53029,UN,INGO,2
37,2019,157427,UN,OG,2
37,2019,218508,UN,INGO,2
37,2019,62000,UN,O,2
38,2016,36500,UN,OG,2
38,2016,3510617,UN,INGO,2
38,2016,1298527,UN,NNGO,2
38,2017,283200,UN,OG,2
38,2017,353526,UN,INGO,2
38,2017,518210,UN,NNGO,2
38,2017,8360,UN,O,2
38,2018,163600,UN,OG,2
38,2018,718398,UN,INGO,2
38,2018,1111781,UN,NNGO,2
38,2018,8346,UN,O,2
39,2015,88251,UN,OG,2
39,2015,66846,UN,INGO,2
39,2015,126607,UN,NNGO,2
39,2016,337065,UN,OG,2
39,2016,110829,UN,INGO,2
39,2016,253954,UN,NNGO,2
39,2016,24206,UN,NNGO,2
39,2016,23500,UN,O,2
39,2017,808960,UN,OG,2
39,2017,303156,UN,INGO,2
39,2017,472129,UN,NNGO,2
39,2017,230535,UN,O,2
39,2018,130743,UN,OG,2
39,2019,113898,UN,OG,2
39,2019,9538,UN,INGO,2
39,2019,513706,UN,NNGO,2
40,2015,93088,UN,OG,2
40,2015,2954265,UN,INGO,2
40,2015,496807,UN,NNGO,2
40,2015,30094,UN,O,2
40,2016,581810,UN,INGO,2
40,2019,977720,UN,OG,2
40,2019,487644,UN,INGO,2
40,2019,470770,UN,NNGO,2
40,2019,246178,UN,O,2
41,2016,71695,UN,OG,2
41,2016,4396484,UN,INGO,2
41,2016,1434860,UN,NNGO,2
41,2016,379783,UN,O,2
41,2017,36517,UN,OG,2
41,2017,1067763,UN,INGO,2
41,2017,779316,UN,NNGO,2
41,2017,49999,UN,O,2
41,2018,190539,UN,OG,2
41,2018,2766675,UN,INGO,2
41,2018,575883,UN,NNGO,2
42,2015,542213,UN,OG,2
42,2015,687265,UN,INGO,2
42,2015,245584,UN,NNGO,2
42,2018,307050,UN,OG,2
42,2018,207197,UN,INGO,2
42,2018,187035,UN,NNGO,2
43,2016,271592,UN,OG,2
43,2016,464480,UN,INGO,2
43,2017,22223,UN,OG,2
43,2017,37107,UN,INGO,2
44,2015,326441,UN,OG,2
44,2015,718458,UN,INGO,2
44,2015,28977,UN,NNGO,2
44,2016,211323,UN,OG,2
44,2016,298629,UN,INGO,2
44,2016,143678,UN,NNGO,2
44,2017,227216,UN,OG,2
44,2017,531490,UN,INGO,2
44,2019,801896,UN,OG,2
44,2019,1828948,UN,INGO,2
44,2019,111408,UN,NNGO,2
44,2019,156662,UN,NNGO,2
45,2015,910304,UN,OG,2
45,2015,3322124,UN,INGO,2
45,2015,2083095,UN,NNGO,2
45,2016,95216,UN,OG,2
45,2016,285232,UN,INGO,2
45,2016,409298,UN,NNGO,2
45,2017,165443,UN,OG,2
45,2017,280771,UN,INGO,2
45,2017,157882,UN,NNGO,2
45,2018,372156,UN,OG,2
45,2018,984625,UN,INGO,2
45,2018,737265,UN,NNGO,2
45,2019,103492,UN,OG,2
45,2019,215267,UN,INGO,2
45,2019,150605,UN,NNGO,2
46,2015,30454,UN,OG,2
46,2015,870011,UN,INGO,2
46,2015,3730954,UN,NNGO,2
46,2015,886085,UN,O,2
46,2016,658153,UN,NNGO,2
46,2017,248663,UN,OG,2
46,2017,258351,UN,INGO,2
46,2017,1311094,UN,NNGO,2
46,2017,109637,UN,O,2
47,2015,295962,UN,OG,2
47,2015,3114052,UN,INGO,2
47,2015,737524,UN,NNGO,2
47,2015,267950,UN,O,2
47,2016,92579,UN,OG,2
47,2016,1311682,UN,INGO,2
47,2016,426394,UN,NNGO,2
47,2016,50756,UN,O,2
47,2017,302770,UN,OG,2
47,2017,2492821,UN,INGO,2
47,2017,446260,UN,NNGO,2
47,2017,49315,UN,O,2
47,2018,425910,UN,OG,2
47,2018,989624,UN,INGO,2
47,2018,790392,UN,NNGO,2
47,2019,19016,UN,NNGO,2
47,2019,456090,UN,OG,2
47,2019,1738988,UN,INGO,2
47,2019,1246625,UN,NNGO,2
48,2015,636362,UN,OG,2
48,2015,1587343,UN,INGO,2
48,2015,43730,UN,NNGO,2
48,2015,237496,UN,O,2
48,2016,3183757,UN,OG,2
48,2016,1865017,UN,INGO,2
48,2016,446368,UN,NNGO,2
48,2016,42560,UN,O,2
48,2017,4220354,UN,OG,2
48,2017,2306577,UN,INGO,2
48,2017,538875,UN,NNGO,2
48,2017,105466,UN,O,2
48,2018,800777,UN,OG,2
48,2018,326516,UN,NNGO,2
48,2018,542127,UN,O,2
49,2015,206776,UN,OG,2
49,2015,2702727,UN,NNGO,2
49,2015,13660,UN,O,2
49,2018,499833,UN,OG,2
49,2018,66905,UN,NNGO,2
50,2016,417382,UN,OG,2
50,2016,604774,UN,INGO,2
50,2018,146593,UN,OG,2
50,2018,52151,UN,INGO,2
50,2018,872817,UN,NNGO,2
51,2015,88818,UN,OG,2
51,2015,269500,UN,NNGO,2
51,2017,14859,UN,OG,2
51,2017,2503193,UN,INGO,2
51,2017,314948,UN,NNGO,2
51,2018,1090303,UN,INGO,2
51,2018,85773,UN,NNGO,2
52,2015,110000,UN,INGO,2
52,2015,54191,UN,NNGO,2
52,2017,11233,UN,OG,2
52,2017,484816,UN,INGO,2
52,2017,734125,UN,NNGO,2
52,2018,630692,UN,INGO,2
52,2018,1381057,UN,NNGO,2
53,2016,326153,UN,INGO,2
53,2016,522299,UN,NNGO,2
53,2017,85313,UN,OG,2
53,2017,657244,UN,NNGO,2
53,2018,240029,UN,OG,2
53,2018,353706,UN,INGO,2
53,2018,174197,UN,NNGO,2
53,2019,56494,UN,OG,2
53,2019,213697,UN,INGO,2
53,2019,368518,UN,NNGO,2
54,2015,3062322,UN,OG,2
54,2015,1469724,UN,INGO,2
54,2015,1936779,UN,NNGO,2
54,2015,274047,UN,O,2
54,2016,2559202,UN,OG,2
54,2016,1341824,UN,INGO,2
