fund,year,value,source,target,targetType
54,2016,1643945,UN,NNGO,2
54,2016,2859868,UN,O,2
54,2017,2513533,UN,OG,2
54,2017,1608087,UN,INGO,2
54,2017,701836,UN,NNGO,2
54,2017,357567,UN,O,2
54,2018,1910493,UN,OG,2
54,2018,1517927,UN,INGO,2
54,2018,458153,UN,NNGO,2
54,2018,219908,UN,O,2
55,2015,556706,UN,OG,2
55,2015,2769246,UN,INGO,2
55,2015,679831,UN,NNGO,2
55,2016,680500,UN,OG,2
55,2016,2190458,UN,INGO,2
55,2016,28255,UN,NNGO,2
55,2016,49652,UN,O,2
55,2018,244482,UN,OG,2
55,2018,416467,UN,INGO,2
55,2019,162537,UN,OG,2
55,2019,51727,UN,NNGO,2
56,2015,392671,UN,OG,2
56,2015,3301517,UN,INGO,2
56,2015,4936584,UN,NNGO,2
56,2015,7939,UN,O,2
56,2016,1291426,UN,OG,2
56,2016,157252,UN,INGO,2
56,2016,637437,UN,NNGO,2
56,2016,3727,UN,O,2
56,2017,1599074,UN,OG,2
56,2017,3177368,UN,INGO,2
56,2017,4884007,UN,NNGO,2
56,2017,127974,UN,O,2
56,2018,897781,UN,OG,2
56,2018,959897,UN,INGO,2
56,2018,1541119,UN,NNGO,2
56,2018,412412,UN,O,2
56,2019,1264403,UN,OG,2
56,2019,796719,UN,INGO,2
56,2019,1166977,UN,NNGO,2
56,2019,610438,UN,O,2
57,2015,36803,UN,OG,2
57,2015,1018687,UN,INGO,2
57,2015,877817,UN,NNGO,2
57,2016,3915760,UN,INGO,2
57,2016,779559,UN,NNGO,2
57,2017,1217824,UN,INGO,2
57,2017,533902,UN,NNGO,2
57,2019,1174734,UN,INGO,2
57,2019,1059108,UN,NNGO,2
58,2016,77338,UN,OG,2
58,2016,451394,UN,INGO,2
58,2016,613240,UN,NNGO,2
58,2016,337359,UN,O,2
58,2017,2530953,UN,OG,2
58,2017,1145772,UN,INGO,2
58,2017,96500,UN,NNGO,2
59,2016,361173,UN,INGO,2
59,2016,89266,UN,NNGO,2
60,2015,35362,UN,OG,2
60,2015,2956244,UN,INGO,2
60,2015,2029284,UN,NNGO,2
60,2015,1175624,UN,O,2
61,2016,100572,UN,INGO,2
61,2016,39504,UN,NNGO,2
62,2015,40000,UN,OG,2
62,2015,384461,UN,INGO,2
62,2015,4567541,UN,O,2
63,2015,130547,UN,OG,2
63,2015,1219354,UN,INGO,2
63,2015,4332,UN,NNGO,2
63,2016,1189230,UN,OG,2
63,2016,5659856,UN,INGO,2
63,2016,769203,UN,NNGO,2
63,2016,22038,UN,O,2
63,2017,136041,UN,OG,2
63,2017,2782528,UN,INGO,2
63,2017,288351,UN,NNGO,2
63,2018,1232887,UN,OG,2
63,2018,7929790,UN,INGO,2
63,2018,1239005,UN,NNGO,2
63,2018,40194,UN,O,2
63,2019,69758,UN,NNGO,2
63,2019,131907,UN,NNGO,2
63,2019,487346,UN,OG,2
63,2019,3148075,UN,INGO,2
63,2019,8693,UN,NNGO,2
63,2019,1614682,UN,NNGO,2
63,2019,292792,UN,O,2
64,2015,765770,UN,INGO,2
64,2015,140240,UN,NNGO,2
64,2015,120000,UN,O,2
64,2018,204519,UN,INGO,2
64,2018,800148,UN,NNGO,2
65,2015,327165,UN,OG,2
65,2015,157265,UN,INGO,2
65,2015,489282,UN,NNGO,2
65,2015,356178,UN,O,2
65,2016,308770,UN,OG,2
65,2016,1216190,UN,INGO,2
65,2016,1349143,UN,NNGO,2
65,2016,118136,UN,O,2
65,2018,2096258,UN,INGO,2
65,2018,184935,UN,NNGO,2
65,2018,1618132,UN,O,2
66,2015,246595,UN,OG,2
66,2015,671271,UN,INGO,2
66,2015,146000,UN,NNGO,2
66,2015,50000,UN,O,2
67,2018,452906,UN,INGO,2
67,2018,241745,UN,NNGO,2
67,2018,155046,UN,O,2
68,2018,461812,UN,INGO,2
68,2018,2163717,UN,NNGO,2
68,2018,96829,UN,O,2
69,2016,847010,UN,OG,2
69,2016,157930,UN,INGO,2
69,2016,525801,UN,O,2
69,2017,1140152,UN,OG,2
69,2017,114577,UN,INGO,2
69,2017,15000,UN,NNGO,2
69,2017,1917558,UN,O,2
70,2015,2260702,UN,OG,2
70,2015,3197877,UN,INGO,2
70,2015,2653748,UN,NNGO,2
70,2016,1860101,UN,OG,2
70,2016,3169642,UN,INGO,2
70,2016,1147855,UN,NNGO,2
70,2017,44708,UN,OG,2
70,2017,809423,UN,INGO,2
70,2017,755469,UN,NNGO,2
70,2018,2134219,UN,OG,2
70,2018,2324858,UN,INGO,2
70,2018,1875591,UN,NNGO,2
71,2017,59333,UN,OG,2
71,2017,52158,UN,INGO,2
71,2018,218429,UN,OG,2
71,2018,2223985,UN,INGO,2
71,2018,6114,UN,NNGO,2
71,2018,52677,UN,O,2
72,2015,356294,UN,OG,2
72,2015,2602148,UN,INGO,2
72,2015,527056,UN,NNGO,2
72,2017,164800,UN,OG,2
72,2017,199698,UN,INGO,2
72,2017,142114,UN,NNGO,2
72,2017,14400,UN,O,2
72,2018,17000,UN,OG,2
72,2018,685771,UN,INGO,2
72,2018,72654,UN,NNGO,2
72,2019,345408,UN,OG,2
72,2019,559676,UN,INGO,2
72,2019,517923,UN,NNGO,2
1,2015,13786504,1,UN,1
2,2015,5051640,2,UN,1
5,2015,2992959,5,UN,1
8,2015,2495246,8,UN,1
9,2015,14071268,9,UN,1
10,2015,11556590,10,UN,1
11,2015,16514042,11,UN,1
12,2015,777854,12,UN,1
13,2015,2994382,13,UN,1
16,2015,8276986,16,UN,1
17,2015,14840593,17,UN,1
18,2015,3000059,18,UN,1
21,2015,3500065,21,UN,1
22,2015,2710000,22,UN,1
23,2015,2993896,23,UN,1
24,2015,27019897,24,UN,1
28,2015,9157785,28,UN,1
29,2015,2187908,29,UN,1
32,2015,12478939,32,UN,1
33,2015,9000346,33,UN,1
36,2015,18004139,36,UN,1
38,2015,1491012,38,UN,1
39,2015,2294798,39,UN,1
40,2015,16925025,40,UN,1
42,2015,2532163,42,UN,1
44,2015,3996365,44,UN,1
45,2015,15773060,45,UN,1
46,2015,19113716,46,UN,1
47,2015,13741648,47,UN,1
48,2015,9889075,48,UN,1
49,2015,11000547,49,UN,1
51,2015,914395,51,UN,1
52,2015,1512074,52,UN,1
54,2015,24195886,54,UN,1
55,2015,10482966,55,UN,1
56,2015,25289318,56,UN,1
57,2015,13446494,57,UN,1
60,2015,29926021,60,UN,1
62,2015,8999844,62,UN,1
63,2015,3238788,63,UN,1
64,2015,4920172,64,UN,1
65,2015,9156319,65,UN,1
66,2015,5038408,66,UN,1
70,2015,44250104,70,UN,1
72,2015,8110712,72,UN,1
1,2016,9782398,1,UN,1
3,2016,7989386,3,UN,1
5,2016,4890038,5,UN,1
8,2016,12985955,8,UN,1
9,2016,4187543,9,UN,1
10,2016,11985378,10,UN,1
11,2016,19992103,11,UN,1
15,2016,1965416,15,UN,1
73,2016,5352736,73,UN,1
16,2016,13055211,16,UN,1
17,2016,16589684,17,UN,1
18,2016,1972054,18,UN,1
20,2016,7501349,20,UN,1
23,2016,2002599,23,UN,1
24,2016,20482982,24,UN,1
25,2016,8022382,25,UN,1
26,2016,4829690,26,UN,1
27,2016,2971319,27,UN,1
28,2016,10383240,28,UN,1
32,2016,33354244,32,UN,1
33,2016,9377520,33,UN,1
34,2016,4961689,34,UN,1
35,2016,328811,35,UN,1
37,2016,4782918,37,UN,1
38,2016,11989024,38,UN,1
39,2016,5988888,39,UN,1
40,2016,1437503,40,UN,1
41,2016,15999980,41,UN,1
43,2016,2442974,43,UN,1
44,2016,4679803,44,UN,1
45,2016,3570457,45,UN,1
46,2016,1942999,46,UN,1
47,2016,4989275,47,UN,1
48,2016,23483769,48,UN,1
50,2016,4736155,50,UN,1
53,2016,2366915,53,UN,1
54,2016,24635432,54,UN,1
55,2016,9217722,55,UN,1
56,2016,12885332,56,UN,1
57,2016,20823623,57,UN,1
58,2016,4320080,58,UN,1
59,2016,3141908,59,UN,1
61,2016,846703,61,UN,1
63,2016,28297524,63,UN,1
65,2016,12492761,65,UN,1
69,2016,3897864,69,UN,1
70,2016,14988837,70,UN,1
1,2017,9996905,1,UN,1
3,2017,10545508,3,UN,1
4,2017,2154461,4,UN,1
5,2017,24164854,5,UN,1
8,2017,3500011,8,UN,1
9,2017,10005413,9,UN,1
10,2017,15995654,10,UN,1
11,2017,14556804,11,UN,1
73,2017,7999469,73,UN,1
16,2017,12347758,16,UN,1
17,2017,26564545,17,UN,1
19,2017,3011838,19,UN,1
24,2017,28512690,24,UN,1
32,2017,10000001,32,UN,1
34,2017,10329268,34,UN,1
38,2017,6355627,38,UN,1
39,2017,10960423,39,UN,1
41,2017,6905824,41,UN,1
43,2017,1107613,43,UN,1
44,2017,2000095,44,UN,1
45,2017,6526848,45,UN,1
46,2017,4787881,46,UN,1
47,2017,10058848,47,UN,1
48,2017,31886628,48,UN,1
74,2017,4238419,74,UN,1
51,2017,5167962,51,UN,1
52,2017,2477274,52,UN,1
53,2017,4371548,53,UN,1
54,2017,29626543,54,UN,1
56,2017,32992835,56,UN,1
57,2017,15524589,57,UN,1
58,2017,7196273,58,UN,1
63,2017,14986704,63,UN,1
69,2017,4213259,69,UN,1
70,2017,25553107,70,UN,1
72,2017,1585201,72,UN,1
1,2018,11937469,1,UN,1
3,2018,2000950,3,UN,1
5,2018,18002515,5,UN,1
6,2018,1502535,6,UN,1
7,2018,9015030,7,UN,1
8,2018,7349868,8,UN,1
9,2018,14981481,9,UN,1
10,2018,9932158,10,UN,1
11,2018,16982338,11,UN,1
13,2018,5929493,13,UN,1
16,2018,10003768,16,UN,1
17,2018,58351051,17,UN,1
18,2018,1196791,18,UN,1
20,2018,1499915,20,UN,1
23,2018,4994295,23,UN,1
24,2018,30288894,24,UN,1
26,2018,1559967,26,UN,1
28,2018,12142837,28,UN,1
30,2018,4979186,30,UN,1
31,2018,14425020,31,UN,1
34,2018,4945502,34,UN,1
35,2018,3509410,35,UN,1
36,2018,1127942,36,UN,1
38,2018,11758391,38,UN,1
39,2018,1000000,39,UN,1
41,2018,14997463,41,UN,1
42,2018,3975873,42,UN,1
45,2018,7206253,45,UN,1
47,2018,9386907,47,UN,1
48,2018,6866877,48,UN,1
74,2018,16265209,74,UN,1
49,2018,7993805,49,UN,1
50,2018,9186710,50,UN,1
51,2018,1975196,51,UN,1
52,2018,5031703,52,UN,1
53,2018,3976882,53,UN,1
54,2018,19997876,54,UN,1
55,2018,3000067,55,UN,1
56,2018,17269031,56,UN,1
63,2018,23086811,63,UN,1
64,2018,5904612,64,UN,1
65,2018,9995458,65,UN,1
67,2018,9202761,67,UN,1
68,2018,6203340,68,UN,1
70,2018,49909290,70,UN,1
71,2018,6559772,71,UN,1
72,2018,3099371,72,UN,1
1,2019,15999997,1,UN,1
3,2019,6342733,3,UN,1
75,2019,1002151,75,UN,1
5,2019,15343759,5,UN,1
7,2019,10010530,7,UN,1
8,2019,2384881,8,UN,1
9,2019,16297676,9,UN,1
11,2019,10979313,11,UN,1
13,2019,7991845,13,UN,1
14,2019,2994184,14,UN,1
73,2019,1995221,73,UN,1
16,2019,5999898,16,UN,1
17,2019,45689917,17,UN,1
18,2019,5246493,18,UN,1
22,2019,1998859,22,UN,1
23,2019,2000112,23,UN,1
24,2019,21109759,24,UN,1
26,2019,1986599,26,UN,1
28,2019,11154605,28,UN,1
29,2019,2999924,29,UN,1
76,2019,1971476,76,UN,1
34,2019,8008589,34,UN,1
37,2019,7850528,37,UN,1
38,2019,3758398,38,UN,1
39,2019,4998920,39,UN,1
40,2019,13352471,40,UN,1
41,2019,6000088,41,UN,1
44,2019,28946686,44,UN,1
45,2019,3494397,45,UN,1
47,2019,16935469,47,UN,1
74,2019,7748483,74,UN,1
49,2019,10280648,49,UN,1
52,2019,3066075,52,UN,1
53,2019,2987422,53,UN,1
54,2019,43366304,54,UN,1
55,2019,1798007,55,UN,1
77,2019,2707068,77,UN,1
56,2019,49869672,56,UN,1
57,2019,27932833,57,UN,1
63,2019,22296336,63,UN,1
64,2019,6003065,64,UN,1
65,2019,5989345,65,UN,1
67,2019,10015686,67,UN,1
68,2019,6000000,68,UN,1
70,2019,31666052,70,UN,1
71,2019,7988674,71,UN,1
72,2019,14105895,72,UN,1
1,2020,12999965,1,UN,1
3,2020,3501693,3,UN,1
5,2020,15091183,5,UN,1
7,2020,16006581,7,UN,1
8,2020,5000231,8,UN,1
9,2020,8716990,9,UN,1
11,2020,16525334,11,UN,1
13,2020,3996369,13,UN,1
16,2020,4999689,16,UN,1
17,2020,70077013,17,UN,1
18,2020,1727350,18,UN,1
78,2020,10000000,78,UN,1
22,2020,2999884,22,UN,1
24,2020,8000000,24,UN,1
25,2020,1002748,25,UN,1
79,2020,120074574,79,UN,1
26,2020,4993677,26,UN,1
28,2020,11999406,28,UN,1
29,2020,5000038,29,UN,1
33,2020,6000400,33,UN,1
34,2020,3006018,34,UN,1
36,2020,18987914,36,UN,1
37,2020,750002,37,UN,1
39,2020,3999920,39,UN,1
41,2020,6999805,41,UN,1
42,2020,5999379,42,UN,1
44,2020,14002966,44,UN,1
80,2020,3000029,80,UN,1
47,2020,21971838,47,UN,1
48,2020,13001946,48,UN,1
74,2020,22293277,74,UN,1
49,2020,11974176,49,UN,1
52,2020,3113674,52,UN,1
53,2020,6926982,53,UN,1
54,2020,100173438,54,UN,1
55,2020,1000000,55,UN,1
56,2020,22090543,56,UN,1
57,2020,26599346,57,UN,1
81,2020,2000000,81,UN,1
60,2020,54883070,60,UN,1
63,2020,8950648,63,UN,1
66,2020,2605385,66,UN,1
69,2020,2999889,69,UN,1
70,2020,34999938,70,UN,1
72,2020,34893136,72,UN,1